Referencia;Categoria;Endereco;Endereco Numero;Endereco Complemento;Dormitorio;Valor venda;Valor Aluguel;Bairro Comercial;Empreendimento;Valor M2 Aluguel;Valor M2 venda;Valor total aluguel;Data cadastro;Data atualizacao;Equipes do Imovel;Corretores do Imovel;Nome;Publicar Viva Real VRSync;Publicar Viva Real VRSync 2;Status;Area Privativa;Tem Placa;Vagas;Suite;Ano de Construção;Lançamento
Moderno e funcional;Casa;Rua Augusta;186.0;Rua Oscar Freire;3.0;2818400.0;0.0;Higienópolis;;0.0;15.923.204.819.277;0.0;20/06/2020;20/07/2020;;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;165.0;Totalmente reformado;2.0;3.0;0;Excelente oportunidade
Totalmente reformado;Studio;Rua Oscar Freire;186.0;Rua Oscar Freire;3.0;2782800.0;0.0;Tatuapé;;0.0;16.002.421.686.747;0.0;23/06/2020;23/07/2020;;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;177.0;Moderno e funcional;2.0;3.0;0;Excelente oportunidade
Imóvel bem localizado;Studio;Rua Bela Cintra;186.0;Rua Augusta;3.0;2433800.0;0.0;Moema;;0.0;16.099.114.457.831;0.0;26/06/2020;26/07/2020;;Totalmente reformado;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;Espaçoso e iluminado;179.0;Imóvel bem localizado;2.0;3.0;0;Imóvel bem localizado
Imóvel bem localizado;Ponto Comercial;Rua Oscar Freire;186.0;Av. Paulista;3.0;3042000.0;0.0;Moema;;0.0;16.179.109.090.909;0.0;29/06/2020;29/07/2020;;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;Espaçoso e iluminado;197.0;Moderno e funcional;2.0;3.0;0;Excelente oportunidade
Espaçoso e iluminado;Cobertura;Av. Ipiranga;186.0;Rua Augusta;3.0;2803000.0;0.0;Tatuapé;;0.0;16.178.813.253.012;0.0;02/07/2020;01/08/2020;;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;Imóvel bem localizado;Moderno e funcional;165.0;Espaçoso e iluminado;2.0;3.0;0;Totalmente reformado
Moderno e funcional;Cobertura;Rua Bela Cintra;186.0;Av. Ipiranga;3.0;2375600.0;0.0;Vila Mariana;;0.0;16.258.806.060.606;0.0;05/07/2020;04/08/2020;;Espaçoso e iluminado;Totalmente reformado;Totalmente reformado;Excelente oportunidade;Totalmente reformado;152.0;Moderno e funcional;2.0;3.0;0;Moderno e funcional
Espaçoso e iluminado;Casa;Rua Oscar Freire;186.0;Rua Augusta;3.0;2495700.0;0.0;Tatuapé;;0.0;16.338.509.090.909;0.0;08/07/2020;07/08/2020;;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;190.0;Imóvel bem localizado;2.0;3.0;0;Moderno e funcional
Imóvel bem localizado;Cobertura;Rua Augusta;186.0;Rua Augusta;3.0;2607300.0;0.0;Santa Cecília;;0.0;16.338.210.843.373;0.0;11/07/2020;10/08/2020;;Moderno e funcional;Espaçoso e iluminado;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;166.0;Excelente oportunidade;2.0;3.0;0;Totalmente reformado
Totalmente reformado;Sobrado;Rua Augusta;186.0;Av. Ipiranga;3.0;2905200.0;0.0;Vila Mariana;;0.0;16.418.206.060.606;0.0;14/07/2020;13/08/2020;;Espaçoso e iluminado;Moderno e funcional;Espaçoso e iluminado;Totalmente reformado;Imóvel bem localizado;161.0;Imóvel bem localizado;2.0;4.0;0;Imóvel bem localizado
Excelente oportunidade;Casa;Av. Ipiranga;186.0;Av. Paulista;3.0;2535900.0;0.0;Tatuapé;;0.0;16.517.412.121.212;0.0;17/07/2020;16/08/2020;;Moderno e funcional;Imóvel bem localizado;Imóvel bem localizado;Imóvel bem localizado;Imóvel bem localizado;193.0;Moderno e funcional;2.0;3.0;0;Moderno e funcional
Imóvel bem localizado;Sobrado;Av. Angélica;186.0;Rua Bela Cintra;3.0;2742300.0;0.0;Vila Mariana;;0.0;16.537.757.575.758;0.0;20/07/2020;19/08/2020;;Espaçoso e iluminado;Moderno e funcional;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;186.0;Imóvel bem localizado;2.0;3.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Studio;Av. Angélica;186.0;Rua Augusta;3.0;3014600.0;0.0;Higienópolis;;0.0;16.637.684.848.485;0.0;22/07/2020;21/08/2020;;Moderno e funcional;Espaçoso e iluminado;Totalmente reformado;Imóvel bem localizado;Espaçoso e iluminado;167.0;Espaçoso e iluminado;2.0;3.0;0;Moderno e funcional
Espaçoso e iluminado;Casa;Av. Angélica;186.0;Rua Oscar Freire;3.0;2431300.0;0.0;Pinheiros;;0.0;16.657.309.090.909;0.0;25/07/2020;24/08/2020;;Totalmente reformado;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;181.0;Totalmente reformado;2.0;3.0;0;Moderno e funcional
Moderno e funcional;Casa;Rua Bela Cintra;186.0;Rua Augusta;3.0;3011700.0;0.0;Vila Mariana;;0.0;16.657.006.024.096;0.0;28/07/2020;27/08/2020;;Espaçoso e iluminado;Espaçoso e iluminado;Moderno e funcional;Excelente oportunidade;Excelente oportunidade;153.0;Totalmente reformado;2.0;3.0;0;Totalmente reformado
Totalmente reformado;Studio;Rua Oscar Freire;186.0;Av. Ipiranga;3.0;2420200.0;0.0;Tatuapé;;0.0;16.776.554.216.867;0.0;31/07/2020;30/08/2020;;Totalmente reformado;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;Moderno e funcional;169.0;Excelente oportunidade;2.0;3.0;0;Imóvel bem localizado
Totalmente reformado;Casa;Rua Oscar Freire;186.0;Rua Bela Cintra;3.0;2666500.0;0.0;Vila Mariana;;0.0;16.896.406.060.606;0.0;03/08/2020;02/09/2020;;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;178.0;Imóvel bem localizado;2.0;3.0;0;Moderno e funcional
Moderno e funcional;Studio;Av. Paulista;186.0;Rua Bela Cintra;3.0;2901400.0;0.0;Pinheiros;;0.0;1.701.565.060.241;0.0;06/08/2020;05/09/2020;;Totalmente reformado;Moderno e funcional;Totalmente reformado;Moderno e funcional;Espaçoso e iluminado;195.0;Totalmente reformado;2.0;3.0;0;Moderno e funcional
Excelente oportunidade;Casa;Rua Oscar Freire;186.0;Rua Bela Cintra;3.0;3183100.0;0.0;Tatuapé;;0.0;17.175.357.575.758;0.0;09/08/2020;08/09/2020;;Excelente oportunidade;Moderno e funcional;Totalmente reformado;Totalmente reformado;Excelente oportunidade;174.0;Imóvel bem localizado;2.0;3.0;0;Imóvel bem localizado
Totalmente reformado;Cobertura;Rua Bela Cintra;186.0;Rua Oscar Freire;3.0;2795100.0;0.0;Pinheiros;;0.0;1.701.565.060.241;0.0;12/08/2020;11/09/2020;;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;Moderno e funcional;187.0;Imóvel bem localizado;2.0;3.0;0;Totalmente reformado
Moderno e funcional;Casa;Av. Angélica;186.0;Av. Angélica;3.0;2615800.0;0.0;Higienópolis;;0.0;17.493.837.349.398;0.0;15/08/2020;14/09/2020;;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Moderno e funcional;Excelente oportunidade;177.0;Totalmente reformado;2.0;3.0;0;Moderno e funcional
Excelente oportunidade;Sobrado;Rua Oscar Freire;186.0;Rua Bela Cintra;3.0;2635400.0;0.0;Tatuapé;;0.0;1.781.263.253.012;0.0;18/08/2020;17/09/2020;;Totalmente reformado;Moderno e funcional;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;186.0;Excelente oportunidade;2.0;3.0;0;Excelente oportunidade
Totalmente reformado;Cobertura;Av. Ipiranga;186.0;Rua Oscar Freire;3.0;2732000.0;0.0;Tatuapé;;0.0;18.011.879.518.072;0.0;21/08/2020;20/09/2020;;Excelente oportunidade;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;197.0;Imóvel bem localizado;2.0;3.0;0;Imóvel bem localizado
Totalmente reformado;Ponto Comercial;Av. Paulista;186.0;Av. Ipiranga;3.0;2878200.0;0.0;Moema;;0.0;18.211.126.506.024;0.0;24/08/2020;23/09/2020;;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;160.0;Totalmente reformado;2.0;3.0;0;Espaçoso e iluminado
Excelente oportunidade;Sobrado;Av. Ipiranga;186.0;Rua Bela Cintra;3.0;3181600.0;0.0;Moema;;0.0;18.410.373.493.976;0.0;27/08/2020;26/09/2020;;Espaçoso e iluminado;Moderno e funcional;Moderno e funcional;Excelente oportunidade;Totalmente reformado;192.0;Espaçoso e iluminado;2.0;3.0;0;Excelente oportunidade
Excelente oportunidade;Studio;Rua Oscar Freire;186.0;Av. Angélica;3.0;3210500.0;0.0;Tatuapé;;0.0;18.609.620.481.928;0.0;30/08/2020;29/09/2020;;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;Espaçoso e iluminado;151.0;Moderno e funcional;2.0;3.0;0;Moderno e funcional
Espaçoso e iluminado;Cobertura;Rua Oscar Freire;186.0;Av. Angélica;3.0;3268900.0;0.0;Vila Mariana;;0.0;1.880.886.746.988;0.0;01/09/2020;01/10/2020;;Totalmente reformado;Excelente oportunidade;Totalmente reformado;Totalmente reformado;Totalmente reformado;194.0;Imóvel bem localizado;2.0;3.0;0;Excelente oportunidade
Moderno e funcional;Ponto Comercial;Av. Ipiranga;186.0;Rua Bela Cintra;4.0;6553600.0;0.0;Pinheiros;;0.0;34.739.260.606.061;0.0;04/09/2020;04/10/2020;;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;Totalmente reformado;182.0;Espaçoso e iluminado;3.0;5.0;0;Imóvel bem localizado
Espaçoso e iluminado;Casa;Rua Augusta;186.0;Rua Oscar Freire;1.0;394800.0;0.0;Moema;;0.0;10.982.848.484.848;0.0;07/09/2020;07/10/2020;;Imóvel bem localizado;Espaçoso e iluminado;Moderno e funcional;Moderno e funcional;Excelente oportunidade;38.0;Espaçoso e iluminado;0.0;0.0;0;Moderno e funcional
Totalmente reformado;Cobertura;Rua Bela Cintra;186.0;Av. Ipiranga;1.0;455800.0;0.0;Higienópolis;;0.0;97.158.039.215.686;0.0;10/09/2020;10/10/2020;;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;56.0;Moderno e funcional;0.0;0.0;0;Totalmente reformado
Espaçoso e iluminado;Sobrado;Av. Ipiranga;186.0;Av. Angélica;1.0;392800.0;0.0;Tatuapé;;0.0;10.818.916.666.667;0.0;13/09/2020;13/10/2020;;Moderno e funcional;Espaçoso e iluminado;Moderno e funcional;Moderno e funcional;Imóvel bem localizado;40.0;Totalmente reformado;0.0;0.0;0;Moderno e funcional
Moderno e funcional;Studio;Av. Paulista;186.0;Av. Paulista;1.0;377900.0;0.0;Pinheiros;;0.0;11000.0;0.0;16/09/2020;16/10/2020;;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;35.0;Excelente oportunidade;0.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Ponto Comercial;Av. Angélica;186.0;Rua Oscar Freire;1.0;328600.0;0.0;Higienópolis;;0.0;10.930.448.275.862;0.0;19/09/2020;19/10/2020;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;31.0;Excelente oportunidade;0.0;0.0;0;Excelente oportunidade
Moderno e funcional;Ponto Comercial;Av. Angélica;186.0;Av. Angélica;1.0;294400.0;0.0;Higienópolis;;0.0;83.048.787.878.788;0.0;22/09/2020;22/10/2020;;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;Excelente oportunidade;Moderno e funcional;32.0;Espaçoso e iluminado;0.0;0.0;0;Imóvel bem localizado
Moderno e funcional;Casa;Rua Bela Cintra;186.0;Rua Augusta;1.0;237400.0;0.0;Vila Mariana;;0.0;11.915.695.652.174;0.0;25/09/2020;25/10/2020;;Totalmente reformado;Moderno e funcional;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;22.0;Imóvel bem localizado;0.0;0.0;0;Moderno e funcional
Totalmente reformado;Casa;Rua Oscar Freire;186.0;Av. Angélica;1.0;233300.0;0.0;Higienópolis;;0.0;11.915.695.652.174;0.0;28/09/2020;28/10/2020;;Totalmente reformado;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;26.0;Espaçoso e iluminado;0.0;0.0;0;Excelente oportunidade
Totalmente reformado;Studio;Rua Oscar Freire;186.0;Rua Augusta;1.0;248500.0;0.0;Tatuapé;;0.0;11.915.695.652.174;0.0;01/10/2020;31/10/2020;;Moderno e funcional;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;23.0;Espaçoso e iluminado;0.0;0.0;0;Excelente oportunidade
Espaçoso e iluminado;Casa;Rua Augusta;186.0;Rua Augusta;1.0;252100.0;0.0;Higienópolis;;0.0;11.915.695.652.174;0.0;04/10/2020;03/11/2020;;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Espaçoso e iluminado;Excelente oportunidade;22.0;Espaçoso e iluminado;0.0;0.0;0;Totalmente reformado
Imóvel bem localizado;Casa;Av. Angélica;186.0;Rua Oscar Freire;1.0;273900.0;0.0;Tatuapé;;0.0;11.915.695.652.174;0.0;07/10/2020;06/11/2020;;Excelente oportunidade;Totalmente reformado;Totalmente reformado;Totalmente reformado;Totalmente reformado;21.0;Excelente oportunidade;0.0;0.0;0;Excelente oportunidade
Excelente oportunidade;Casa;Rua Oscar Freire;186.0;Av. Angélica;1.0;288200.0;0.0;Higienópolis;;0.0;11.915.695.652.174;0.0;09/10/2020;08/11/2020;;Imóvel bem localizado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;25.0;Imóvel bem localizado;0.0;0.0;0;Totalmente reformado
Espaçoso e iluminado;Sobrado;Av. Ipiranga;186.0;Av. Ipiranga;1.0;235000.0;0.0;Pinheiros;;0.0;11.915.695.652.174;0.0;12/10/2020;11/11/2020;;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;Espaçoso e iluminado;22.0;Excelente oportunidade;0.0;0.0;0;Excelente oportunidade
Moderno e funcional;Casa;Rua Oscar Freire;186.0;Rua Bela Cintra;1.0;299400.0;0.0;Pinheiros;;0.0;11.419.208.333.333;0.0;15/10/2020;14/11/2020;;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;Espaçoso e iluminado;Moderno e funcional;26.0;Excelente oportunidade;0.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Cobertura;Av. Ipiranga;186.0;Rua Oscar Freire;1.0;380200.0;0.0;Higienópolis;;0.0;113.278.125;0.0;18/10/2020;17/11/2020;;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;Espaçoso e iluminado;Imóvel bem localizado;36.0;Totalmente reformado;0.0;0.0;0;Espaçoso e iluminado
Excelente oportunidade;Ponto Comercial;Av. Paulista;186.0;Av. Paulista;1.0;383900.0;0.0;Vila Mariana;;0.0;113.278.125;0.0;21/10/2020;20/11/2020;;Espaçoso e iluminado;Totalmente reformado;Espaçoso e iluminado;Totalmente reformado;Excelente oportunidade;37.0;Espaçoso e iluminado;0.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Ponto Comercial;Rua Oscar Freire;186.0;Av. Angélica;1.0;282500.0;0.0;Santa Cecília;;0.0;11.153.517.241.379;0.0;24/10/2020;23/11/2020;;Espaçoso e iluminado;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;27.0;Totalmente reformado;0.0;0.0;0;Totalmente reformado
Totalmente reformado;Casa;Rua Bela Cintra;186.0;Av. Ipiranga;1.0;369100.0;0.0;Tatuapé;;0.0;11.153.517.241.379;0.0;27/10/2020;26/11/2020;;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;Espaçoso e iluminado;Espaçoso e iluminado;33.0;Imóvel bem localizado;0.0;0.0;0;Espaçoso e iluminado
Imóvel bem localizado;Studio;Av. Angélica;186.0;Rua Bela Cintra;1.0;311900.0;0.0;Vila Mariana;;0.0;13000.0;0.0;30/10/2020;29/11/2020;;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;21.0;Imóvel bem localizado;0.0;0.0;0;Totalmente reformado
Excelente oportunidade;Studio;Av. Angélica;186.0;Rua Oscar Freire;1.0;312000.0;0.0;Tatuapé;;0.0;13200.0;0.0;02/11/2020;02/12/2020;;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Totalmente reformado;23.0;Excelente oportunidade;0.0;0.0;0;Espaçoso e iluminado
Imóvel bem localizado;Cobertura;Rua Oscar Freire;155.0;Av. Ipiranga;3.0;988700.0;0.0;Tatuapé;;0.0;48.936.170.212.766;400.0;05/11/2020;05/12/2020;;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;240.0;Totalmente reformado;4.0;0.0;1982;Totalmente reformado
Totalmente reformado;Casa;Rua Augusta;186.0;Av. Angélica;1.0;295300.0;0.0;Tatuapé;;0.0;11400.0;0.0;08/11/2020;08/12/2020;;Moderno e funcional;Moderno e funcional;Moderno e funcional;Imóvel bem localizado;Imóvel bem localizado;24.0;Totalmente reformado;0.0;0.0;0;Excelente oportunidade
Moderno e funcional;Studio;Rua Oscar Freire;186.0;Av. Ipiranga;1.0;300700.0;0.0;Moema;;0.0;13400.0;0.0;11/11/2020;11/12/2020;;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;26.0;Imóvel bem localizado;0.0;0.0;0;Imóvel bem localizado
Imóvel bem localizado;Ponto Comercial;Av. Angélica;186.0;Av. Paulista;1.0;387500.0;0.0;Vila Mariana;;0.0;1.155.434.375;0.0;14/11/2020;14/12/2020;;Espaçoso e iluminado;Totalmente reformado;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;31.0;Moderno e funcional;0.0;0.0;0;Imóvel bem localizado
Excelente oportunidade;Ponto Comercial;Av. Paulista;186.0;Rua Bela Cintra;1.0;354100.0;0.0;Vila Mariana;;0.0;11.376.586.206.897;0.0;16/11/2020;16/12/2020;;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;29.0;Espaçoso e iluminado;0.0;0.0;0;Moderno e funcional
Espaçoso e iluminado;Cobertura;Av. Paulista;186.0;Av. Paulista;1.0;331500.0;0.0;Higienópolis;;0.0;11.667.625;0.0;19/11/2020;19/12/2020;;Excelente oportunidade;Imóvel bem localizado;Excelente oportunidade;Totalmente reformado;Totalmente reformado;37.0;Totalmente reformado;0.0;0.0;0;Excelente oportunidade
Totalmente reformado;Ponto Comercial;Av. Angélica;533.0;Av. Paulista;3.0;2916000.0;0.0;Santa Cecília;;0.0;17.517.926.097.046;0.0;22/11/2020;22/12/2020;;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;Moderno e funcional;Excelente oportunidade;175.0;Totalmente reformado;2.0;3.0;0;Imóvel bem localizado
Excelente oportunidade;Casa;Rua Oscar Freire;533.0;Rua Bela Cintra;3.0;2944400.0;0.0;Vila Mariana;;0.0;17.517.926.097.046;0.0;25/11/2020;25/12/2020;;Excelente oportunidade;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;Totalmente reformado;181.0;Moderno e funcional;2.0;3.0;0;Espaçoso e iluminado
Moderno e funcional;Cobertura;Av. Ipiranga;533.0;Rua Oscar Freire;3.0;2672000.0;0.0;Pinheiros;;0.0;17.174.440.525.919;0.0;28/11/2020;28/12/2020;;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Espaçoso e iluminado;Espaçoso e iluminado;182.0;Excelente oportunidade;2.0;3.0;0;Totalmente reformado
Imóvel bem localizado;Cobertura;Rua Oscar Freire;533.0;Rua Oscar Freire;3.0;3032300.0;0.0;Pinheiros;;0.0;17.174.440.525.919;0.0;01/12/2020;31/12/2020;;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Totalmente reformado;Espaçoso e iluminado;159.0;Moderno e funcional;2.0;3.0;0;Imóvel bem localizado
Totalmente reformado;Cobertura;Rua Augusta;533.0;Rua Bela Cintra;3.0;2689900.0;0.0;Tatuapé;;0.0;17.174.440.525.919;0.0;04/12/2020;03/01/2021;;Totalmente reformado;Moderno e funcional;Espaçoso e iluminado;Moderno e funcional;Totalmente reformado;178.0;Espaçoso e iluminado;2.0;3.0;0;Imóvel bem localizado
Totalmente reformado;Ponto Comercial;Rua Oscar Freire;533.0;Av. Angélica;3.0;2543500.0;0.0;Tatuapé;;0.0;16.920.627.772.755;0.0;07/12/2020;06/01/2021;;Totalmente reformado;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;152.0;Espaçoso e iluminado;2.0;4.0;0;Totalmente reformado
Moderno e funcional;Sobrado;Rua Bela Cintra;533.0;Av. Ipiranga;3.0;2850700.0;0.0;Higienópolis;;0.0;16.920.627.772.755;0.0;10/12/2020;09/01/2021;;Moderno e funcional;Espaçoso e iluminado;Excelente oportunidade;Imóvel bem localizado;Espaçoso e iluminado;171.0;Totalmente reformado;2.0;3.0;0;Moderno e funcional
Moderno e funcional;Ponto Comercial;Rua Bela Cintra;533.0;Rua Bela Cintra;3.0;2470000.0;0.0;Tatuapé;;0.0;16.670.572.712.996;0.0;13/12/2020;12/01/2021;;Espaçoso e iluminado;Totalmente reformado;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;163.0;Moderno e funcional;2.0;4.0;0;Imóvel bem localizado
Moderno e funcional;Cobertura;Av. Ipiranga;533.0;Rua Oscar Freire;3.0;2367000.0;0.0;Pinheiros;;0.0;16.670.572.712.996;0.0;16/12/2020;15/01/2021;;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;144.0;Moderno e funcional;2.0;3.0;0;Excelente oportunidade
Moderno e funcional;Cobertura;Rua Augusta;533.0;Rua Augusta;4.0;2634300.0;0.0;Pinheiros;;0.0;16.424.204.080.043;0.0;19/12/2020;18/01/2021;;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;Excelente oportunidade;Moderno e funcional;169.0;Imóvel bem localizado;2.0;3.0;0;Imóvel bem localizado
Excelente oportunidade;Studio;Rua Augusta;533.0;Av. Paulista;4.0;2216600.0;0.0;Santa Cecília;;0.0;16.261.593.137.331;0.0;22/12/2020;21/01/2021;;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Espaçoso e iluminado;Moderno e funcional;149.0;Espaçoso e iluminado;2.0;3.0;0;Moderno e funcional
Moderno e funcional;Ponto Comercial;Rua Oscar Freire;533.0;Av. Ipiranga;3.0;2349700.0;0.0;Moema;;0.0;16.261.593.137.331;0.0;24/12/2020;23/01/2021;;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;183.0;Moderno e funcional;2.0;3.0;0;Totalmente reformado
Excelente oportunidade;Ponto Comercial;Rua Augusta;533.0;Rua Augusta;3.0;2536100.0;0.0;Vila Mariana;;0.0;16.100.582.453.708;0.0;27/12/2020;26/01/2021;;Excelente oportunidade;Imóvel bem localizado;Totalmente reformado;Moderno e funcional;Moderno e funcional;158.0;Totalmente reformado;2.0;3.0;0;Moderno e funcional
Espaçoso e iluminado;Cobertura;Rua Augusta;533.0;Av. Ipiranga;3.0;2184400.0;0.0;Tatuapé;;0.0;15.988.667.978.056;0.0;30/12/2020;29/01/2021;;Totalmente reformado;Excelente oportunidade;Totalmente reformado;Excelente oportunidade;Espaçoso e iluminado;168.0;Moderno e funcional;2.0;4.0;0;Moderno e funcional
Imóvel bem localizado;Studio;Rua Augusta;533.0;Rua Oscar Freire;3.0;2708200.0;0.0;Tatuapé;;0.0;15.988.667.978.056;0.0;02/01/2021;01/02/2021;;Totalmente reformado;Totalmente reformado;Totalmente reformado;Moderno e funcional;Espaçoso e iluminado;147.0;Totalmente reformado;2.0;3.0;0;Excelente oportunidade
Excelente oportunidade;Cobertura;Av. Ipiranga;533.0;Rua Augusta;3.0;2087700.0;0.0;Vila Mariana;;0.0;15.908.719.811.473;0.0;05/01/2021;04/02/2021;;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;Espaçoso e iluminado;182.0;Espaçoso e iluminado;2.0;3.0;0;Imóvel bem localizado
Espaçoso e iluminado;Studio;Av. Angélica;533.0;Av. Paulista;3.0;2109200.0;0.0;Moema;;0.0;15.908.719.811.473;0.0;08/01/2021;07/02/2021;;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Moderno e funcional;173.0;Espaçoso e iluminado;2.0;3.0;0;Moderno e funcional
Espaçoso e iluminado;Casa;Rua Oscar Freire;533.0;Av. Ipiranga;3.0;2346200.0;0.0;Vila Mariana;;0.0;15.908.719.811.473;0.0;11/01/2021;10/02/2021;;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Excelente oportunidade;Espaçoso e iluminado;142.0;Moderno e funcional;2.0;3.0;0;Excelente oportunidade
Espaçoso e iluminado;Casa;Rua Bela Cintra;533.0;Av. Angélica;3.0;2375600.0;0.0;Higienópolis;;0.0;15.590.546.840.576;0.0;14/01/2021;13/02/2021;;Totalmente reformado;Totalmente reformado;Totalmente reformado;Imóvel bem localizado;Totalmente reformado;177.0;Imóvel bem localizado;2.0;3.0;0;Imóvel bem localizado
Excelente oportunidade;Sobrado;Av. Angélica;226.0;Av. Paulista;0.0;0.0;2100.0;Higienópolis;;0.0;0.0;2200.0;17/01/2021;16/02/2021;;Espaçoso e iluminado;Imóvel bem localizado;Excelente oportunidade;Excelente oportunidade;Imóvel bem localizado;48.0;Moderno e funcional;0.0;0.0;0;Espaçoso e iluminado
Totalmente reformado;Ponto Comercial;Rua Bela Cintra;533.0;Av. Ipiranga;3.0;2398300.0;0.0;Pinheiros;;0.0;1.527.873.603.334;0.0;20/01/2021;19/02/2021;;Espaçoso e iluminado;Moderno e funcional;Excelente oportunidade;Moderno e funcional;Imóvel bem localizado;185.0;Totalmente reformado;2.0;3.0;0;Espaçoso e iluminado
Excelente oportunidade;Sobrado;Av. Angélica;533.0;Rua Oscar Freire;1.0;378200.0;0.0;Vila Mariana;;0.0;13.121.074.074.074;0.0;23/01/2021;22/02/2021;;Moderno e funcional;Totalmente reformado;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;31.0;Excelente oportunidade;0.0;0.0;0;Imóvel bem localizado
Moderno e funcional;Studio;Av. Angélica;533.0;Av. Angélica;1.0;305100.0;0.0;Moema;;0.0;12.735.444.444.444;0.0;26/01/2021;25/02/2021;;Excelente oportunidade;Excelente oportunidade;Totalmente reformado;Imóvel bem localizado;Imóvel bem localizado;30.0;Excelente oportunidade;0.0;0.0;0;Moderno e funcional
Espaçoso e iluminado;Ponto Comercial;Rua Oscar Freire;533.0;Av. Paulista;1.0;354500.0;0.0;Tatuapé;;0.0;12.735.444.444.444;0.0;29/01/2021;28/02/2021;;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Imóvel bem localizado;Moderno e funcional;32.0;Imóvel bem localizado;0.0;0.0;0;Moderno e funcional
